epochs steps out_loss offset_loss train_accuracy time
11 21 0.171 450.246 0.949 1779.459
11 22 0.181 464.508 0.948 1782.772
11 23 0.192 475.985 0.939 1786.000
11 24 0.181 450.610 0.947 1789.237
11 25 0.167 471.269 0.951 1792.495
11 26 0.178 472.863 0.941 1795.791
11 27 0.170 481.392 0.948 1798.989
11 28 0.181 449.707 0.949 1802.211
11 29 0.181 477.662 0.934 1805.431
11 30 0.163 479.367 0.942 1808.772
11 31 0.169 478.746 0.949 1812.019
11 32 0.185 491.339 0.927 1815.365
11 33 0.216 450.478 0.923 1818.656
11 34 0.200 455.680 0.926 1821.938
11 35 0.221 488.763 0.911 1825.237
11 36 0.219 443.012 0.926 1828.464
11 37 0.236 446.477 0.911 1831.696
11 38 0.219 452.896 0.924 1834.966
11 39 0.236 472.278 0.912 1838.198
11 40 0.211 480.872 0.925 1841.441
11 41 0.230 482.704 0.917 1844.740
11 42 0.246 445.171 0.892 1847.968
11 43 0.224 467.841 0.922 1851.218
11 44 0.226 465.196 0.912 1854.435
11 45 0.210 466.905 0.930 1857.690
11 46 0.212 465.428 0.923 1860.883
11 47 0.211 481.667 0.920 1864.097
11 48 0.217 490.241 0.915 1867.307
11 49 0.258 488.738 0.910 1870.551
11 50 0.254 468.608 0.914 1873.787
11 51 0.201 493.299 0.931 1877.010
11 52 0.344 481.679 0.876 1880.250
11 53 0.249 452.486 0.907 1883.506
11 54 0.227 471.699 0.903 1886.732
11 55 0.216 509.441 0.921 1890.024
11 56 0.205 459.698 0.929 1893.267
11 57 0.243 486.403 0.918 1896.475
11 58 0.207 489.713 0.927 1899.724
11 59 0.213 473.432 0.928 1902.999
11 60 0.211 447.512 0.918 1906.265
11 61 0.213 479.496 0.921 1909.492
11 62 0.195 452.824 0.938 1912.741
11 63 0.196 446.979 0.936 1916.040
11 64 0.185 485.247 0.939 1919.397
11 65 0.170 453.937 0.945 1922.733
11 66 0.190 482.554 0.939 1925.944
11 67 0.167 476.028 0.953 1929.220
11 68 0.185 440.754 0.946 1932.452
11 69 0.169 463.022 0.950 1935.676
11 70 0.177 487.859 0.952 1938.907
11 71 0.172 478.234 0.954 1942.180
11 72 0.232 484.123 0.934 1945.393
11 73 0.265 501.906 0.933 1948.723
11 74 0.179 467.606 0.955 1951.967
11 75 0.211 492.698 0.944 1955.275
11 76 0.193 466.517 0.945 1958.523
11 77 0.202 478.514 0.948 1961.739
11 78 0.185 494.031 0.950 1964.991
