frame,num_points,centroid_x,centroid_y,centroid_z,axis1,axis2,axis3,obb_dx,obb_dy,obb_dz,obb_volume
frame_0065_overlay_go1_uncertainty_clean.ply,57,9.235342,-0.8615912,-1.0828663,0.20360048,0.19112664,0.14224115,0.34612083,0.32491532,0.24180996,0.027193939313292503
frame_0066_overlay_go1_uncertainty_clean.ply,71,9.255746,-0.88268465,-1.058837,0.3255023,0.15192026,0.12854049,0.55335397,0.25826445,0.21851884,0.031228888779878616
frame_0067_overlay_go1_uncertainty_clean.ply,63,9.187862,-0.8547967,-1.0702488,0.25643796,0.1816492,0.12018136,0.43594453,0.30880365,0.20430832,0.027504242956638336
frame_0068_overlay_go1_uncertainty_clean.ply,103,8.813654,-0.50693256,-1.1957854,3.0001595,1.7937206,0.29873198,5.100271,3.0493252,0.5078444,7.898191452026367
frame_0069_overlay_go1_uncertainty_clean.ply,51,9.1299305,-0.82890314,-1.0825031,0.20312284,0.17691588,0.14737478,0.34530884,0.30075702,0.25053713,0.026019297540187836
frame_0070_overlay_go1_uncertainty_clean.ply,51,9.114223,-0.8308992,-1.0835162,0.23477209,0.17914262,0.14747226,0.39911255,0.30454248,0.25070286,0.03047211281955242
frame_0071_overlay_go1_uncertainty_clean.ply,45,9.098238,-0.8247663,-1.0744843,0.21242823,0.17731987,0.121261396,0.361128,0.3014438,0.20614438,0.02244083397090435
frame_0073_overlay_go1_uncertainty_clean.ply,58,9.108061,-0.8339036,-1.0759387,0.21413788,0.1743394,0.13081184,0.3640344,0.29637697,0.22238013,0.023992907255887985
frame_0074_overlay_go1_uncertainty_clean.ply,102,8.9750185,-0.45561787,-1.1902647,2.6047592,1.6199107,0.2769454,4.4280906,2.7538483,0.47080722,5.741159915924072
frame_0077_overlay_go1_uncertainty_clean.ply,78,8.746214,-0.12560467,-1.2452937,2.8918612,2.0865033,0.3190926,4.9161644,3.5470557,0.54245746,9.459322929382324
frame_0078_overlay_go1_uncertainty_clean.ply,52,8.967794,-0.7437366,-1.0913619,0.22194523,0.17785956,0.12687868,0.3773069,0.30236125,0.21569376,0.024606989696621895
frame_0080_overlay_go1_uncertainty_clean.ply,48,8.884961,-0.74236745,-1.0921849,0.20960481,0.19220546,0.11046359,0.3563282,0.3267493,0.18778811,0.021864166483283043
frame_0081_overlay_go1_uncertainty_clean.ply,68,8.927726,-0.7562014,-1.1049111,0.29903954,0.193375,0.14165245,0.50836724,0.32873753,0.24080917,0.040243878960609436
frame_0082_overlay_go1_uncertainty_clean.ply,59,8.87174,-0.7223275,-1.1022295,0.20211607,0.17977674,0.14725631,0.34359732,0.30562046,0.25033575,0.026287851855158806
frame_0083_overlay_go1_uncertainty_clean.ply,48,8.865603,-0.69116133,-1.103248,0.1985492,0.19121188,0.15138894,0.33753365,0.32506022,0.2573612,0.028237352147698402
frame_0084_overlay_go1_uncertainty_clean.ply,46,9.178426,-0.8533137,-1.0701016,0.3157202,0.18014391,0.093027994,0.5367243,0.30624464,0.15814759,0.025994552299380302
frame_0085_overlay_go1_uncertainty_clean.ply,99,8.837288,-0.19810703,-1.214882,2.524292,1.8920016,0.337691,4.2912965,3.2164028,0.57407475,7.9236884117126465
frame_0086_overlay_go1_uncertainty_clean.ply,83,8.513706,-0.12234241,-1.2084224,3.3189645,2.0568762,0.3018248,5.6422396,3.4966896,0.5131022,10.123075485229492
frame_0087_overlay_go1_uncertainty_clean.ply,100,8.380511,-0.25656378,-1.2459652,3.692865,1.8907065,0.2870301,6.2778707,3.2142012,0.4879512,9.846044540405273
frame_0088_overlay_go1_uncertainty_clean.ply,65,8.716548,-0.22012088,-1.2172962,3.1773908,1.6416175,0.2871774,5.4015646,2.7907498,0.48820162,7.359354019165039
frame_0089_overlay_go1_uncertainty_clean.ply,64,8.888729,-0.70715386,-1.1019379,0.22438283,0.19145314,0.15452567,0.38145083,0.32547036,0.26269364,0.032613661140203476
frame_0090_overlay_go1_uncertainty_clean.ply,78,8.974128,-0.12739989,-1.2301383,2.7967763,1.6818593,0.30744264,4.75452,2.859161,0.5226525,7.104905605316162
frame_0091_overlay_go1_uncertainty_clean.ply,111,8.713452,-0.308683,-1.2105786,2.8478317,1.6602362,0.2916548,4.841314,2.8224018,0.49581316,6.774857044219971
frame_0092_overlay_go1_uncertainty_clean.ply,36,9.006829,-0.70216775,-1.0626004,0.23070945,0.163216,0.14925493,0.39220607,0.2774672,0.2537334,0.027612363919615746
frame_0095_overlay_go1_uncertainty_clean.ply,98,8.55973,-0.26999328,-1.22212,3.2126505,1.8657092,0.31315014,5.461506,3.1717057,0.53235525,9.221611976623535
frame_0096_overlay_go1_uncertainty_clean.ply,86,8.804611,-0.16318367,-1.2441674,3.1742501,1.698444,0.2638224,5.3962255,2.8873549,0.4484981,6.987967491149902
frame_0097_overlay_go1_uncertainty_clean.ply,71,8.86308,-0.122028366,-1.2376907,3.3239954,1.8252815,0.2414847,5.650792,3.1029787,0.410524,7.198246479034424
frame_0098_overlay_go1_uncertainty_clean.ply,78,8.53624,-0.32521904,-1.2057365,3.676925,1.7497458,0.32607773,6.2507725,2.9745681,0.55433214,10.306891441345215
frame_0099_overlay_go1_uncertainty_clean.ply,80,8.626146,-0.25400442,-1.2193265,3.5862,1.5979273,0.32722187,6.09654,2.7164764,0.5562772,9.212566375732422
frame_0100_overlay_go1_uncertainty_clean.ply,73,8.563425,-0.10120728,-1.2092255,3.4489717,1.9141345,0.33776298,5.863252,3.2540288,0.5741971,10.955216407775879
frame_0101_overlay_go1_uncertainty_clean.ply,84,8.819479,0.035975963,-1.2699156,3.3536015,1.8455756,0.2929411,5.7011228,3.1374786,0.49799988,8.907798767089844
frame_0102_overlay_go1_uncertainty_clean.ply,83,8.710517,-0.1921934,-1.214854,2.678169,1.7856866,0.29571694,4.5528874,3.0356674,0.5027188,6.9481024742126465
frame_0104_overlay_go1_uncertainty_clean.ply,97,8.647057,-0.3459586,-1.1795126,2.8323817,1.4987298,0.3091448,4.815049,2.5478408,0.5255462,6.447389602661133
frame_0106_overlay_go1_uncertainty_clean.ply,52,9.023244,-0.702762,-1.0934384,0.39241236,0.16017488,0.10420352,0.667101,0.2722973,0.17714599,0.03217853233218193
frame_0107_overlay_go1_uncertainty_clean.ply,71,9.038833,-0.687482,-1.1172049,0.39106452,0.18953644,0.120535076,0.6648097,0.32221195,0.20490964,0.043893616646528244
frame_0108_overlay_go1_uncertainty_clean.ply,74,9.05227,-0.68829364,-1.1165034,0.36945367,0.2031382,0.115668185,0.62807125,0.34533495,0.19663592,0.04264933988451958
frame_0109_overlay_go1_uncertainty_clean.ply,84,9.0524025,-0.70861775,-1.119092,0.36608332,0.1886354,0.1413102,0.6223417,0.32068017,0.24022734,0.04794280603528023
frame_0110_overlay_go1_uncertainty_clean.ply,84,9.041105,-0.7143754,-1.1225607,0.3915844,0.19956712,0.12087763,0.6656935,0.33926412,0.20549197,0.046409524977207184
frame_0111_overlay_go1_uncertainty_clean.ply,76,8.940719,-0.20974727,-1.2346169,2.62985,1.6216695,0.2721935,4.470745,2.7568383,0.46272895,5.703190326690674
frame_0113_overlay_go1_uncertainty_clean.ply,104,8.878318,-0.18608055,-1.2132832,2.5547931,1.7483363,0.2808974,4.343148,2.9721718,0.47752562,6.164178848266602
frame_0114_overlay_go1_uncertainty_clean.ply,74,8.785642,-0.242511,-1.2699087,2.972612,1.6332304,0.22057253,5.0534406,2.7764919,0.37497333,5.2611894607543945
frame_0115_overlay_go1_uncertainty_clean.ply,74,9.105949,0.0728191,-1.2517259,2.6366603,1.9009494,0.30964357,4.4823227,3.231614,0.52639407,7.624890327453613
frame_0116_overlay_go1_uncertainty_clean.ply,87,9.035754,-0.6858021,-1.106692,0.35902578,0.19690284,0.0971269,0.6103438,0.33473483,0.16511574,0.03373369574546814
frame_0117_overlay_go1_uncertainty_clean.ply,64,8.804243,-0.047097996,-1.245361,3.0220947,1.9773492,0.25393876,5.1375613,3.3614936,0.4316959,7.455336570739746
frame_0118_overlay_go1_uncertainty_clean.ply,101,8.693349,-0.34871227,-1.231026,3.2047355,1.5971678,0.29901743,5.4480505,2.7151854,0.50832963,7.519449234008789
frame_0119_overlay_go1_uncertainty_clean.ply,89,8.6060915,-0.2907753,-1.2389553,3.0428145,1.7868506,0.28872874,5.172785,3.037646,0.4908389,7.712594985961914
frame_0120_overlay_go1_uncertainty_clean.ply,81,8.915124,-0.06262741,-1.2520181,3.5839863,1.6796874,0.24984041,6.092777,2.8554685,0.4247287,7.389316082000732
frame_0121_overlay_go1_uncertainty_clean.ply,67,8.695655,-0.17527753,-1.2602514,3.0516663,1.6191179,0.21660475,5.187833,2.7525005,0.36822808,5.258117198944092
frame_0122_overlay_go1_uncertainty_clean.ply,83,8.51481,-0.33387038,-1.2151507,3.0042183,1.819592,0.30704376,5.1071715,3.0933065,0.5219744,8.246175765991211
frame_0123_overlay_go1_uncertainty_clean.ply,75,8.865015,-0.38750365,-1.2170352,2.5978825,1.6475134,0.27868244,4.4164004,2.800773,0.47376016,5.860097885131836
frame_0124_overlay_go1_uncertainty_clean.ply,107,8.808762,-0.2107455,-1.2084154,2.58683,1.7857885,0.28293526,4.397611,3.0358405,0.48098996,6.421430587768555
frame_0125_overlay_go1_uncertainty_clean.ply,74,8.918841,-0.24915604,-1.2387743,2.9249153,1.48071,0.24765764,4.9723563,2.5172071,0.421018,5.269650936126709
frame_0126_overlay_go1_uncertainty_clean.ply,57,9.263451,-0.18741925,-1.2482225,1.7008016,1.4058084,0.20673718,2.891363,2.3898745,0.3514532,2.428539752960205
frame_0127_overlay_go1_uncertainty_clean.ply,86,8.949329,-0.10644105,-1.2395233,2.7584093,1.5850924,0.32486728,4.689296,2.694657,0.5522744,6.9785637855529785
frame_0129_overlay_go1_uncertainty_clean.ply,67,8.871661,-0.7858233,-1.1233739,0.32354283,0.1815492,0.08024274,0.55002284,0.30863366,0.13641267,0.02315680868923664
frame_0130_overlay_go1_uncertainty_clean.ply,71,8.832366,-0.83597046,-1.0986332,0.29744703,0.19200061,0.09154431,0.50565994,0.32640105,0.15562533,0.025685640051960945
frame_0131_overlay_go1_uncertainty_clean.ply,89,8.817987,-0.8346765,-1.1256633,0.3695274,0.17353797,0.12405377,0.6281966,0.29501456,0.21089141,0.039083901792764664
frame_0132_overlay_go1_uncertainty_clean.ply,72,8.717583,-0.9180691,-1.1077602,0.26565453,0.16518861,0.088350944,0.4516127,0.28082064,0.15019661,0.019048260524868965
frame_0133_overlay_go1_uncertainty_clean.ply,91,8.6823635,-0.96711737,-1.1148953,0.23562801,0.19076107,0.1258451,0.40056762,0.32429382,0.21393669,0.027790717780590057
