frame,centroid_x,centroid_y,centroid_z,robot_points,window_start,window_end
0400,9.312253,-0.71467674,-1.1899228,98,386,400
0401,9.024107,-0.5325583,-1.1997819,78,387,401
0402,9.079131,-0.6180434,-1.1990616,80,388,402
0403,8.96728,-0.19407357,-1.1984367,69,389,403
0404,8.92291,-0.38194057,-1.2138325,69,390,404
0405,9.329393,-0.46084407,-1.1839496,71,391,405
0406,8.974309,-0.29936534,-1.2159233,64,392,406
0407,9.361523,-0.28786469,-1.2013749,80,393,407
0408,9.099269,-0.7597051,-1.1495582,78,394,408
0414,10.142251,-1.6202701,-1.0281672,45,400,414
0415,10.105435,-1.5693144,-1.0327303,41,401,415
0416,10.091141,-1.5781653,-1.0407692,43,402,416
0418,10.0781975,-1.5539491,-1.0331727,42,404,418
0419,10.061332,-1.505407,-1.0098257,29,405,419
0425,9.800111,-1.5296919,-1.0614649,45,411,425
0426,9.729484,-1.5266366,-1.034054,41,412,426
0430,9.461472,-1.4709873,-1.0463555,40,416,430
0431,9.314202,-1.4632382,-1.0974486,46,417,431
0432,9.185857,-1.4409157,-1.0952778,60,418,432
0433,9.119354,-1.4235575,-1.0931106,60,419,433
0435,9.058411,-1.3988516,-1.097601,65,421,435
0436,9.019584,-1.4110997,-1.0922266,58,422,436
0437,8.99606,-1.3919525,-1.0974847,63,423,437
0438,8.977607,-1.3978268,-1.0923153,51,424,438
0439,8.970869,-1.3810335,-1.0980461,58,425,439
0440,8.935386,-1.3049603,-1.0673714,37,426,440
0441,9.012404,-1.3302603,-1.0830499,43,427,441
0442,9.007767,-1.3326188,-1.1146185,43,428,442
0443,9.039983,-1.3132788,-1.0954821,42,429,443
0444,8.825243,-0.45032507,-1.2114697,73,430,444
0445,9.067235,-1.3175406,-1.0525916,26,431,445
0447,8.997454,-1.2178133,-1.0682514,38,433,447
0448,9.01893,-1.188732,-1.0849369,50,434,448
0449,9.033941,-1.1338369,-1.0878297,56,435,449
0450,9.017113,-1.0768393,-1.0661461,44,436,450
0451,8.993805,-1.370037,-1.0999097,44,437,451
0452,9.043326,-1.0490593,-1.0842738,51,438,452
0453,9.045174,-0.93035644,-1.0815117,48,439,453
0454,9.03868,-0.91420907,-1.0886068,49,440,454
0456,9.0684595,-0.90644306,-1.0910435,63,442,456
0457,9.060985,-0.85779244,-1.0775896,51,443,457
0458,8.527824,-0.2726506,-1.1920944,101,444,458
0459,8.6652,-0.47226125,-1.2000847,99,445,459
0460,8.744666,-0.33057567,-1.1973928,91,446,460
0461,8.811855,-0.45270085,-1.2233369,67,447,461
0462,8.708388,-0.27922642,-1.2348521,68,448,462
0463,9.070338,-0.88483006,-1.0691079,39,449,463
0464,8.786089,-0.37765208,-1.2325724,87,450,464
0465,8.824593,-0.3873491,-1.2306601,71,451,465
0466,8.55948,-0.42845538,-1.1964976,112,452,466
0468,9.065869,-1.0113063,-1.0950744,52,454,468
0469,9.036056,-1.0482602,-1.1001874,50,455,469
0470,9.066961,-1.1146989,-1.1038783,58,456,470
0471,9.056324,-1.1629872,-1.0977262,57,457,471
0472,9.026602,-1.2898319,-1.1059129,64,458,472
0473,9.009461,-1.3125176,-1.0964501,60,459,473
0474,9.015624,-1.3646249,-1.0927392,61,460,474
0475,8.9924555,-1.4243091,-1.0963395,59,461,475
0476,8.987406,-1.45144,-1.0920062,58,462,476
0477,8.985584,-1.4809328,-1.0977132,47,463,477
0478,8.9839115,-1.4863949,-1.0770338,42,464,478
0479,9.008274,-1.5004035,-1.0884751,44,465,479
0480,9.04391,-0.23101318,-1.2472997,73,466,480
0481,8.433115,-0.541368,-1.2022704,99,467,481
0482,8.925562,-0.46441036,-1.173714,69,468,482
0483,8.558177,-0.4823702,-1.2085538,86,469,483
0484,8.563726,-0.60437256,-1.2118279,99,470,484
0485,9.06923,-1.3862958,-1.117973,33,471,485
